"광고 이름",연령,성,도달,노출,빈도,통화,"지출 금액 (KRW)","CPC(링크 클릭당 비용)","페이지 참여","동영상 3초 이상 재생","링크 클릭","CTR(링크 클릭률)","동영상 3초 이상 재생당 비용","랜딩 페이지 조회","제품 맞춤 주문","콘텐츠 조회","웹사이트 등록 완료",조회,"동영상 25% 재생","동영상 50% 재생","동영상 75% 재생","동영상 95% 재생","동영상 100% 재생","웹사이트 구매","보고 시작","보고 종료"
,,,7404,9801,1.32374392,KRW,149488,508.46258503,1872,1537,294,2.99969391,97.25959662,274,34,229,35,9873,1342,690,393,283,269,6,2026-06-01,2026-06-21
01_edu_ad1,35-44,female,671,797,1.18777943,KRW,20137,649.58064516,221,187,31,3.88958595,107.68449198,29,4,10,8,,265,146,94,68,64,,2026-06-01,2026-06-21
02_memory_ad1,35-44,female,647,805,1.24420402,KRW,18315,654.10714286,246,215,28,3.47826087,85.18604651,26,4,8,4,,216,116,62,40,36,,2026-06-01,2026-06-21
02_memory_ad1,25-34,female,623,841,1.34991974,KRW,15963,694.04347826,187,158,23,2.73483948,101.03164557,22,3,17,6,,158,89,51,32,32,,2026-06-01,2026-06-21
03_100books_ad1,35-44,female,846,953,1.12647754,KRW,12908,268.91666667,151,98,48,5.03672613,131.71428571,47,1,26,3,,30,10,4,2,2,,2026-06-01,2026-06-21
03_100books_ad1,35-44,male,767,940,1.22555411,KRW,9772,325.73333333,94,63,30,3.19148936,155.11111111,29,,34,1,,18,5,2,2,2,,2026-06-01,2026-06-21
01_edu_ad1,25-34,female,344,423,1.22965116,KRW,9338,1167.25,74,63,8,1.89125296,148.22222222,6,1,1,,,103,41,22,18,17,,2026-06-01,2026-06-21
03_100books_ad1,25-34,female,719,847,1.17802503,KRW,9018,346.84615385,108,79,26,3.06965762,114.15189873,24,1,11,1,,30,10,8,3,3,,2026-06-01,2026-06-21
01_edu_ad1,35-44,male,310,354,1.14193548,KRW,6300,787.5,75,66,8,2.25988701,95.45454545,6,,,,,101,54,31,24,24,,2026-06-01,2026-06-21
03_100books_ad1,25-34,male,430,557,1.29534884,KRW,5450,454.16666667,47,35,12,2.15439856,155.71428571,12,4,20,2,,11,5,1,,,,2026-06-01,2026-06-21
02_memory_ad1,35-44,male,237,290,1.22362869,KRW,4817,802.83333333,73,65,6,2.06896552,74.10769231,6,,,,,66,35,19,15,14,,2026-06-01,2026-06-21
01_edu_ad1,25-34,male,191,244,1.27748691,KRW,4702,587.75,43,34,8,3.27868852,138.29411765,7,9,40,1,,36,16,7,6,5,6,2026-06-01,2026-06-21
01_edu_ad1,45-54,female,104,124,1.19230769,KRW,3701,462.625,54,44,8,6.4516129,84.11363636,8,1,11,2,,41,31,20,13,13,,2026-06-01,2026-06-21
02_memory_ad1,45-54,female,111,127,1.14414414,KRW,2599,433.16666667,57,51,6,4.72440945,50.96078431,6,3,6,4,,46,26,15,10,9,,2026-06-01,2026-06-21
03_100books_ad1,55-64,female,72,91,1.26388889,KRW,2048,409.6,28,20,5,5.49450549,102.4,5,,3,,,7,6,2,2,2,,2026-06-01,2026-06-21
02_memory_ad1,25-34,male,177,216,1.22033898,KRW,2035,339.16666667,43,37,6,2.77777778,55,4,,6,,,30,16,7,6,6,,2026-06-01,2026-06-21
03_100books_ad1,45-54,female,120,129,1.075,KRW,1887,269.57142857,37,30,7,5.42635659,62.9,7,3,12,3,,12,2,1,1,1,,2026-06-01,2026-06-21
03_100books_ad1,45-54,male,117,132,1.12820513,KRW,1777,355.4,25,20,5,3.78787879,88.85,5,,1,,,5,5,2,2,2,,2026-06-01,2026-06-21
03_100books_ad1,18-24,female,270,317,1.17407407,KRW,1705,568.33333333,21,18,3,0.94637224,94.72222222,2,,16,,,2,,,,,,2026-06-01,2026-06-21
